,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,業種別商業販売額,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,      Commercial sales value by type of business ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,　　　　　 （単位：10億円）,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(billion yen),,
,  商  業  計,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,　,,　参 考 ,  参 考 １,　参 考 ２,,
,, 卸 売 業 計,,,,,,,,,,,,,,,,, 小 売 業 計,,,,,,,,,,(医薬品化粧品小売業、その他小売業の計),(自動車小売業､機械器具小売業、燃料小売業、、医薬品化粧品小売業、その他小売業の計),(燃料小売業、医薬品化粧品小売業、その他小売業の計),   Year,
,,,  各種商品, 繊  維  品,衣服･身の回り品,農畜産物･水産物,食料･飲料,  建築材料,  化学製品,鉱物･金属材料,機 械 器 具 卸 売 業,,　,　,　,家具･建具･じゅう器,医薬品･化粧品,  その他の,,  各種商品,織物･衣服･身の回り品,  飲食料品,  自 動 車,  機械器具,  燃    料,医薬品・化粧品,  そ の 他,　無 店 舗,,,,   and,
 　年  月,　,　,  卸 売 業, 卸  売  業,  卸 売 業,  卸 売 業,  卸 売 業,  卸 売 業,  卸 売 業,  卸 売 業,　,産業機械器具卸売業,自動車卸売業,電気機械器具卸売業,その他の機械器具卸売業,  卸 売 業,  卸 売 業,  卸 売 業,　,  小 売 業,  小 売 業,  小 売 業,  小 売 業,  小 売 業,  小 売 業,  小 売 業,  小 売 業,  小 売 業,,,,  Month,
,Total,Wholesale,"General
Merchandise","
Textiles","Apparel
 &
Accessories","Farm  &
 Aquatic 
Products","Food  
&
Beverages","Building
Materials",Chemicals,"Minerals 
&
 Metals","Machinery 
&
Equipment","Industriy
Machinery
&
Equipment","Motor 
Vehicles","Electorical 
Machinery
&
Equipment",Others,"Furniture 
&  House
 Furnishings","Medicines
&
 Toiletries",Others,Retail,"General
 Merchandise","Fabrics Apparel 
& Accessories","Food  
&
 Beverages","Motor 
Vehicles
(*1)","Machinery
 &
Equipment
(*2)"," Fuel
(*3)","Medicine &
Toiletry
Stores
(*4)"," Others
(*5)","Nonstore
retailers","Total of
(*4)&(*5)","Total  of 
(*1)～(*5)","Total of
(*3)～(*5)",,
  1980年1月,"31,980 ","25,584 ","4,697 ",917 ,951 ,"3,078 ","1,789 ","1,603 ","1,124 ","4,592 ","4,121 ",…,…,…,…,406 ,596 ,"1,711 ","6,396 ",864 ,739 ,"1,819 ",541 ,330 ,…,…,…,…,…,"2,975 ","2,104 ",1月.,1980
　　　　 2,"34,564 ","28,045 ","5,191 ","1,027 ","1,063 ","3,079 ","1,951 ","1,861 ","1,233 ","4,964 ","4,675 ",…,…,…,…,462 ,665 ,"1,875 ","6,518 ",782 ,665 ,"1,895 ",630 ,312 ,…,…,…,…,…,"3,177 ","2,235 ",2月.,
         3,"41,888 ","34,314 ","8,650 ","1,073 ","1,151 ","3,307 ","2,181 ","2,063 ","1,358 ","5,377 ","5,646 ",…,…,…,…,564 ,763 ,"2,179 ","7,574 ",997 ,798 ,"2,085 ",874 ,332 ,…,…,…,…,…,"3,693 ","2,487 ",3月.,
  　     4,"36,849 ","29,292 ","4,006 ","1,040 ","1,177 ","3,407 ","2,269 ","1,980 ","1,342 ","5,022 ","5,467 ",…,…,…,…,585 ,819 ,"2,178 ","7,557 ",934 ,760 ,"2,107 ",736 ,371 ,…,…,…,…,…,"3,756 ","2,649 ",4月.,
