,単位10億円,,,,,,,,,
年月,小売業計,各種商品,織物_衣服_身の回り品,飲食料品,自動車,機械器具,燃料,医薬品・化粧品,その他,無店舗
1980-01-01,6396,864,739,1819,541,330,…,…,…,…
1980-02-01,6518,782,665,1895,630,312,…,…,…,…
1980-03-01,7574,997,798,2085,874,332,…,…,…,…
1980-04-01,7557,934,760,2107,736,371,…,…,…,…
1980-05-01,7240,903,725,2125,701,323,…,…,…,…
1980-06-01,7126,931,740,2087,697,364,…,…,…,…
1980-07-01,7512,1122,772,2160,774,395,…,…,…,…
1980-08-01,6852,891,666,2281,561,306,…,…,…,…
1980-09-01,6897,839,740,2147,649,312,…,…,…,…
1980-10-01,7270,968,824,2216,636,313,…,…,…,…
1980-11-01,7408,1008,859,2213,627,355,…,…,…,…
1980-12-01,9568,1683,1111,2892,676,430,…,…,…,…
1981-01-01,6826,911,753,2011,514,323,…,…,…,…
1981-02-01,6662,800,649,2025,604,294,…,…,…,…
1981-03-01,8070,1043,824,2357,862,337,…,…,…,…
1981-04-01,7854,983,809,2423,758,350,…,…,…,…
1981-05-01,7458,960,780,2352,644,343,…,…,…,…
1981-06-01,7359,939,777,2316,666,357,…,…,…,…
1981-07-01,8176,1196,839,2424,783,451,…,…,…,…
1981-08-01,7337,929,706,2400,584,342,…,…,…,…
1981-09-01,7331,889,765,2276,701,323,…,…,…,…
1981-10-01,7726,1005,864,2327,707,333,…,…,…,…
1981-11-01,7834,1065,894,2325,702,368,…,…,…,…
1981-12-01,10216,1744,1202,3072,758,455,…,…,…,…
1982-01-01,7105,958,844,2151,505,315,…,…,…,…
1982-02-01,6862,839,691,2140,611,272,…,…,…,…
1982-03-01,8285,1062,883,2421,889,314,…,…,…,…
1982-04-01,7946,1022,856,2417,784,329,…,…,…,…
1982-05-01,7787,1008,861,2446,664,325,…,…,…,…
1982-06-01,7741,994,828,2444,727,341,…,…,…,…
1982-07-01,8149,1212,896,2486,786,345,…,…,…,…
1982-08-01,7517,966,705,2566,586,311,…,…,…,…
1982-09-01,7523,918,817,2410,695,313,…,…,…,…
1982-10-01,7963,1065,947,2457,700,294,…,…,…,…
1982-11-01,8144,1068,948,2430,771,332,…,…,…,…
1982-12-01,10397,1779,1232,3050,808,433,…,…,…,…
1983-01-01,7401,986,885,2244,612,323,…,…,…,…
1983-02-01,7096,861,764,2172,704,288,…,…,…,…
1983-03-01,8471,1084,931,2465,992,310,…,…,…,…
1983-04-01,8330,1051,923,2566,794,336,…,…,…,…
1983-05-01,7991,1031,871,2555,717,306,…,…,…,…
1983-06-01,7831,992,834,2462,755,334,…,…,…,…
1983-07-01,8564,1261,871,2603,938,371,…,…,…,…
1983-08-01,7945,991,740,2695,653,406,…,…,…,…
1983-09-01,7735,929,783,2473,784,330,…,…,…,…
1983-10-01,8282,1107,975,2544,782,325,…,…,…,…
1983-11-01,8357,1102,946,2458,878,377,…,…,…,…
1983-12-01,10569,1826,1236,3135,845,478,…,…,…,…
1984-01-01,7416,1028,838,2272,605,359,…,…,…,…
1984-02-01,7373,921,704,2357,775,312,…,…,…,…
1984-03-01,8886,1130,862,2594,1165,347,…,…,…,…
1984-04-01,8567,1098,854,2655,862,361,…,…,…,…
1984-05-01,8257,1048,812,2581,800,343,…,…,…,…
1984-06-01,7971,1033,790,2490,756,379,…,…,…,…
1984-07-01,8823,1335,883,2675,892,446,…,…,…,…
1984-08-01,7945,1014,692,2790,593,376,…,…,…,…
1984-09-01,7948,984,800,2616,802,352,…,…,…,…
1984-10-01,8306,1115,946,2633,777,363,…,…,…,…
1984-11-01,8436,1121,964,2587,779,413,…,…,…,…
1984-12-01,10986,1899,1271,3327,830,523,…,…,…,…
1985-01-01,7827,1087,924,2413,605,368,…,…,…,…
1985-02-01,7436,916,757,2369,764,303,…,…,…,…
1985-03-01,9121,1181,956,2674,1198,359,…,…,…,…
1985-04-01,8661,1123,925,2663,852,384,…,…,…,…
1985-05-01,8419,1087,878,2712,746,389,…,…,…,…
1985-06-01,8265,1068,835,2632,769,427,…,…,…,…
1985-07-01,9299,1381,946,2853,921,494,…,…,…,…
1985-08-01,8337,1051,735,2942,632,397,…,…,…,…
1985-09-01,8180,1011,790,2717,820,348,…,…,…,…
1985-10-01,8717,1173,965,2759,852,354,…,…,…,…
1985-11-01,8731,1167,975,2703,843,399,…,…,…,…
1985-12-01,11555,1961,1278,3618,847,538,…,…,…,…
1986-01-01,8053,1150,930,2428,615,383,…,…,…,…
1986-02-01,7715,968,781,2383,819,334,…,…,…,…
1986-03-01,9387,1235,988,2683,1218,366,…,…,…,…
1986-04-01,9141,1190,942,2758,903,406,…,…,…,…
1986-05-01,8565,1142,880,2755,800,369,…,…,…,…
1986-06-01,8483,1123,848,2689,942,418,…,…,…,…
1986-07-01,9286,1435,933,2835,1020,500,…,…,…,…
1986-08-01,8587,1116,768,2949,728,428,…,…,…,…
1986-09-01,8302,1050,867,2701,923,351,…,…,…,…
1986-10-01,8850,1236,1033,2743,937,371,…,…,…,…
1986-11-01,8769,1250,1033,2693,879,413,…,…,…,…
1986-12-01,11491,1993,1279,3504,996,533,…,…,…,…
1987-01-01,8368,1185,1006,2537,743,426,…,…,…,…
1987-02-01,7912,1007,823,2526,916,342,…,…,…,…
1987-03-01,9599,1285,1019,2863,1303,380,…,…,…,…
1987-04-01,9443,1235,997,2897,998,439,…,…,…,…
1987-05-01,9135,1224,976,2958,898,403,…,…,…,…
1987-06-01,8960,1178,902,2858,995,441,…,…,…,…
1987-07-01,9797,1494,981,2971,1148,527,…,…,…,…
1987-08-01,8961,1155,837,3097,774,435,…,…,…,…
1987-09-01,8956,1118,929,2877,1050,396,…,…,…,…
1987-10-01,9341,1278,1067,2927,1006,406,…,…,…,…
1987-11-01,9441,1322,1076,2844,1103,458,…,…,…,…
1987-12-01,12340,2103,1381,3847,1148,637,…,…,…,…
1988-01-01,8709,1262,1040,2653,821,465,…,…,…,…
1988-02-01,8652,1088,885,2689,1105,397,…,…,…,…
1988-03-01,10279,1338,1056,2942,1635,439,…,…,…,…
1988-04-01,9881,1321,1089,2961,1180,467,…,…,…,…
1988-05-01,9524,1314,1025,3013,1059,423,…,…,…,…
1988-06-01,9524,1285,997,2928,1195,486,…,…,…,…
1988-07-01,10421,1654,1102,3079,1294,567,…,…,…,…
1988-08-01,9307,1240,899,3157,925,470,…,…,…,…
1988-09-01,9267,1203,989,2908,1140,434,…,…,…,…
1988-10-01,9859,1424,1171,2985,1161,406,…,…,…,…
1988-11-01,9984,1428,1164,2930,1220,487,…,…,…,…
1988-12-01,12948,2245,1427,3991,1200,678,…,…,…,…
1989-01-01,9145,1378,1089,2757,813,532,…,…,…,…
1989-02-01,8891,1180,921,2793,1052,427,…,…,…,…
1989-03-01,11625,1719,1282,3253,1569,475,…,…,…,…
1989-04-01,10298,1355,1114,3018,1275,496,…,…,…,…
1989-05-01,10146,1400,1067,3134,1170,440,…,…,…,…
1989-06-01,10077,1378,1037,3068,1253,501,…,…,…,…
1989-07-01,11230,1796,1172,3220,1403,600,…,…,…,…
1989-08-01,10027,1351,912,3276,1046,498,…,…,…,…
1989-09-01,10008,1319,997,3070,1311,458,…,…,…,…
1989-10-01,10808,1568,1229,3130,1412,466,…,…,…,…
1989-11-01,10835,1524,1195,3068,1432,525,…,…,…,…
1989-12-01,14219,2461,1539,4113,1508,760,…,…,…,…
1990-01-01,10132,1517,1149,2887,1107,514,…,…,…,…
1990-02-01,9798,1283,970,2860,1390,473,…,…,…,…
1990-03-01,12084,1665,1245,3159,2078,514,…,…,…,…
1990-04-01,11518,1560,1236,3148,1688,514,…,…,…,…
1990-05-01,11042,1544,1164,3233,1378,486,…,…,…,…
1990-06-01,11147,1530,1161,3184,1576,584,…,…,…,…
1990-07-01,12200,1937,1250,3302,1709,695,…,…,…,…
1990-08-01,10854,1432,991,3371,1305,594,…,…,…,…
1990-09-01,10819,1423,1090,3214,1474,489,…,…,…,…
1990-10-01,11628,1627,1306,3374,1504,516,…,…,…,…
1990-11-01,11609,1608,1261,3256,1555,590,…,…,…,…
1990-12-01,15114,2589,1616,4327,1616,771,…,…,…,…
1991-01-01,10896,1625,1289,3112,1186,559,…,…,…,…
1991-02-01,10375,1337,1053,3155,1389,473,…,…,…,…
1991-03-01,12833,1750,1351,3480,1988,612,…,…,…,…
1991-04-01,12207,1617,1307,3502,1553,622,…,…,…,…
1991-05-01,11838,1595,1252,3508,1374,578,…,…,…,…
1991-06-01,11919,1631,1245,3443,1447,746,…,…,…,…
1991-07-01,13024,2047,1318,3560,1579,813,…,…,…,…
1991-08-01,11515,1549,1027,3614,1188,649,…,…,…,…
1991-09-01,11347,1503,1127,3349,1428,550,…,…,…,…
1991-10-01,12110,1735,1363,3518,1464,592,…,…,…,…
1991-11-01,12152,1741,1322,3477,1504,642,…,…,…,…
1991-12-01,15492,2731,1623,4477,1466,833,…,…,…,…
1992-01-01,11381,1717,1304,3136,1176,534,…,…,…,…
1992-02-01,10860,1447,1059,3242,1392,518,…,…,…,…
1992-03-01,12797,1819,1335,3509,1866,588,…,…,…,…
1992-04-01,12503,1692,1327,3586,1567,619,…,…,…,…
1992-05-01,11942,1685,1213,3638,1338,535,…,…,…,…
1992-06-01,11969,1646,1203,3556,1564,598,…,…,…,…
1992-07-01,13102,2078,1295,3749,1635,749,…,…,…,…
1992-08-01,11451,1543,991,3735,1201,616,…,…,…,…
1992-09-01,11357,1485,1087,3481,1429,542,…,…,…,…
1992-10-01,11874,1727,1315,3544,1373,521,…,…,…,…
1992-11-01,11735,1715,1254,3416,1343,568,…,…,…,…
1992-12-01,15199,2612,1576,4483,1370,801,…,…,…,…
1993-01-01,11078,1692,1232,3233,1072,507,…,…,…,…
1993-02-01,10570,1395,1022,3205,1269,460,…,…,…,…
1993-03-01,12723,1707,1263,3566,1869,538,…,…,…,…
1993-04-01,12216,1646,1228,3558,1502,558,…,…,…,…
1993-05-01,11610,1643,1214,3590,1224,504,…,…,…,…
1993-06-01,11692,1582,1134,3510,1368,545,…,…,…,…
1993-07-01,12705,1987,1248,3734,1563,643,…,…,…,…
1993-08-01,11275,1499,978,3739,1165,515,…,…,…,…
1993-09-01,11282,1448,1066,3511,1422,482,…,…,…,…
1993-10-01,11779,1691,1281,3542,1366,492,…,…,…,…
1993-11-01,11616,1628,1239,3382,1374,525,…,…,…,…
1993-12-01,14783,2534,1518,4416,1355,759,…,…,…,…
1994-01-01,11224,1682,1234,3263,1095,497,…,…,…,…
1994-02-01,10485,1380,983,3253,1298,438,…,…,…,…
1994-03-01,12735,1688,1213,3595,1903,565,…,…,…,…
1994-04-01,12062,1627,1214,3507,1471,546,…,…,…,…
1994-05-01,11630,1622,1163,3564,1297,488,…,…,…,…
1994-06-01,11750,1604,1131,3515,1476,541,…,…,…,…
1994-07-01,13137,2145,1277,3692,1611,758,…,…,…,…
1994-08-01,11628,1543,991,3772,1256,568,…,…,…,…
1994-09-01,11417,1485,1043,3496,1522,494,…,…,…,…
1994-10-01,11862,1717,1218,3577,1416,499,…,…,…,…
1994-11-01,11856,1704,1241,3436,1454,532,…,…,…,…
1994-12-01,15056,2622,1443,4507,1440,767,…,…,…,…
1995-01-01,11215,1706,1179,3247,1143,520,…,…,…,…
1995-02-01,10661,1422,965,3146,1399,464,…,…,…,…
1995-03-01,12846,1728,1171,3545,2031,572,…,…,…,…
1995-04-01,12093,1672,1158,3448,1495,582,…,…,…,…
1995-05-01,11668,1647,1133,3510,1342,532,…,…,…,…
1995-06-01,11802,1638,1091,3503,1512,566,…,…,…,…
1995-07-01,12903,2098,1208,3603,1628,746,…,…,…,…
1995-08-01,11546,1553,970,3722,1258,597,…,…,…,…
1995-09-01,11461,1505,1031,3459,1574,514,…,…,…,…
1995-10-01,11778,1682,1187,3478,1519,508,…,…,…,…
1995-11-01,11858,1712,1226,3351,1554,571,…,…,…,…
